gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary,tenure_group,Risk_Segment,Churn_Probability,Predicted_Churn,Risk_Level,Revenue_At_Risk
Male,0,Yes,No,61,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,81.05,4747.65,No,0,48+ months,Low Risk,0.016487804035720647,0,Low Risk,3.9570729685729553
Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),98.05,3082.1,No,0,24–48 months,Low Risk,0.16851324832753958,0,Low Risk,40.4431795986095
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,No,0,0–12 months,High Risk,0.6336717731626375,1,Medium Risk,152.081225559033
Male,1,Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.55,3365.4,No,0,24–48 months,Medium Risk,0.4595419391915841,0,Medium Risk,110.29006540598019
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.65,38.8,No,0,0–12 months,High Risk,0.25804033155829503,0,Low Risk,61.92967957399081
Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,233.55,Yes,1,0–12 months,Medium Risk,0.12434916525035565,0,Low Risk,29.843799660085356
Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,75.3,Yes,1,0–12 months,High Risk,0.4666630930042019,0,Medium Risk,111.99914232100845
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,Yes,1,0–12 months,High Risk,0.820553597009661,1,High Risk,196.93286328231864
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.0,19.0,No,0,0–12 months,High Risk,0.2636074256072997,0,Low Risk,63.265782145751935
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,61.7,No,0,0–12 months,High Risk,0.2553155576193156,0,Low Risk,61.27573382863575
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,85.7,Yes,1,0–12 months,High Risk,0.8357191375258591,1,High Risk,200.5725930062062
Male,0,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),63.25,3342.45,No,0,48+ months,Low Risk,0.021780973537205355,0,Low Risk,5.227433648929285
Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,85.1,No,0,0–12 months,Medium Risk,0.08906357906118832,0,Low Risk,21.3752589746852
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,99.15,7422.1,No,0,48+ months,Low Risk,0.06324404025746552,0,Low Risk,15.178569661791725
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,No,0,48+ months,Low Risk,0.014736437394400228,0,Low Risk,3.5367449746560546
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,No,0,48+ months,Low Risk,0.04850845601399962,0,Low Risk,11.642029443359908
Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.9,1174.8,No,0,24–48 months,Low Risk,0.023444756361281363,0,Low Risk,5.626741526707527
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.5,5435.0,No,0,48+ months,Low Risk,0.01896716340466127,0,Low Risk,4.552119217118705
Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,No,0,24–48 months,Medium Risk,0.22660751253356112,0,Low Risk,54.38580300805467
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,No,0,0–12 months,High Risk,0.3562096834134061,0,Medium Risk,85.49032401921747
Female,0,No,No,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,713.75,Yes,1,0–12 months,Medium Risk,0.24809579853382188,0,Low Risk,59.54299164811725
Male,0,No,No,16,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,54.85,916.15,No,0,12–24 months,Medium Risk,0.03569756784304734,0,Low Risk,8.567416282331362
Male,0,No,No,4,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,65.55,237.2,No,0,0–12 months,High Risk,0.3847190452483139,0,Medium Risk,92.33257085959534
Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.35,4614.55,No,0,48+ months,Low Risk,0.2555599840525542,0,Low Risk,61.33439617261301
Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.4,1414.45,No,0,48+ months,Low Risk,0.005669045847787428,0,Low Risk,1.3605710034689826
Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,No,0,12–24 months,Medium Risk,0.30480516186737877,0,Medium Risk,73.1532388481709
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.95,47.7,No,0,0–12 months,Medium Risk,0.111092647264577,0,Low Risk,26.66223534349848
Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),74.25,4859.25,No,0,48+ months,Low Risk,0.11941495481379659,0,Low Risk,28.65958915531118
Male,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,108.65,4903.2,No,0,24–48 months,Low Risk,0.08590498410100575,0,Low Risk,20.61719618424138
Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.55,3608.0,No,0,24–48 months,Low Risk,0.2539335184135531,0,Low Risk,60.94404441925275
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.65,6094.25,No,0,48+ months,Low Risk,0.011945569338980484,0,Low Risk,2.8669366413553163
Male,0,Yes,Yes,38,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),81.0,3084.9,No,0,24–48 months,Low Risk,0.017668326237842157,0,Low Risk,4.240398297082118
Male,0,No,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),47.85,2356.75,No,0,48+ months,Low Risk,0.030096699586109027,0,Low Risk,7.223207900666166
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.55,8306.05,No,0,48+ months,Low Risk,0.029579992126715884,0,Low Risk,7.0991981104118125
Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,Yes,1,48+ months,Medium Risk,0.28336047502208983,0,Low Risk,68.00651400530155
Male,0,Yes,Yes,9,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,Yes,1,0–12 months,High Risk,0.5116046886540978,1,Medium Risk,122.78512527698348
Female,0,Yes,Yes,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,65.0,663.05,Yes,1,0–12 months,High Risk,0.1295899195600224,0,Low Risk,31.101580694405374
Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1357.1,No,0,48+ months,Low Risk,0.003140977770799981,0,Low Risk,0.7538346649919954
Female,1,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.8,4860.35,No,0,24–48 months,Low Risk,0.2093221808069277,0,Low Risk,50.23732339366264
Male,0,No,No,50,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.5,3418.2,No,0,48+ months,Low Risk,0.034768722860691645,0,Low Risk,8.344493486565995
Female,0,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.85,631.4,No,0,12–24 months,Medium Risk,0.21630035211499749,0,Low Risk,51.912084507599396
Male,0,No,No,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3,No,0,0–12 months,High Risk,0.4927333145771409,0,Medium Risk,118.25599549851383
Female,1,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.85,6976.75,No,0,48+ months,Low Risk,0.2102813790905559,0,Low Risk,50.46753098173341
Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85,No,0,48+ months,Medium Risk,0.16414080459669195,0,Low Risk,39.393793103206065
Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,No,0,0–12 months,High Risk,0.6313813580508605,1,Medium Risk,151.5315259322065
Male,1,Yes,Yes,10,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6,No,0,0–12 months,High Risk,0.5907003013541016,1,Medium Risk,141.7680723249844
Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,92.05,5755.8,No,0,48+ months,Low Risk,0.12930791429497604,0,Low Risk,31.03389943079425
Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,No,0,24–48 months,Low Risk,0.2230365961891355,0,Low Risk,53.52878308539252
Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,406.95,No,0,12–24 months,Medium Risk,0.014723550269480136,0,Low Risk,3.5336520646752327
Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,137.6,Yes,1,0–12 months,High Risk,0.17175583121681892,0,Low Risk,41.22139949203654
Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,2395.7,No,0,24–48 months,Medium Risk,0.5723547166470249,1,Medium Risk,137.36513199528596
Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,No,0,12–24 months,Medium Risk,0.3667367528527587,0,Medium Risk,88.0168206846621
Female,1,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),104.6,6819.45,No,0,48+ months,Low Risk,0.18264723460363463,0,Low Risk,43.835336304872314
Female,1,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,No,0,48+ months,Low Risk,0.07040206979172922,0,Low Risk,16.896496750015014
Male,1,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.05,4547.25,Yes,1,48+ months,Medium Risk,0.3876713929421679,0,Medium Risk,93.0411343061203
Male,1,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,Yes,1,24–48 months,Medium Risk,0.35218178304969294,0,Medium Risk,84.52362793192631
Female,0,Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.0,2473.95,No,0,24–48 months,Medium Risk,0.0682187302037833,0,Low Risk,16.372495248907992
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.85,6562.9,No,0,48+ months,Low Risk,0.00953020248029427,0,Low Risk,2.2872485952706247
Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,176.3,No,0,0–12 months,Medium Risk,0.07477766673938513,0,Low Risk,17.94664001745243
Female,0,No,No,40,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),54.55,2236.2,No,0,24–48 months,Low Risk,0.09862074100716685,0,Low Risk,23.668977841720043
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,Yes,1,48+ months,Medium Risk,0.4135995009230195,0,Medium Risk,99.26388022152469
Male,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9,No,0,24–48 months,Low Risk,0.09851424997709252,0,Low Risk,23.643419994502203
Female,0,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4911.35,No,0,48+ months,Low Risk,0.006694131709372692,0,Low Risk,1.6065916102494462
Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65,Yes,1,48+ months,Low Risk,0.252164631487358,0,Low Risk,60.519511556965924
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,1,0–12 months,High Risk,0.7681143902951874,1,High Risk,184.34745367084497
Male,0,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,1620.2,No,0,48+ months,Low Risk,0.004403605509610141,0,Low Risk,1.056865322306434
Female,0,Yes,Yes,43,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,56.15,2499.3,Yes,1,24–48 months,Medium Risk,0.12051835749465004,0,Low Risk,28.92440579871601
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,Yes,1,0–12 months,High Risk,0.8097514125493702,1,High Risk,194.34033901184884
Female,1,No,No,49,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),89.85,4287.2,No,0,48+ months,Low Risk,0.2555410958080934,0,Low Risk,61.32986299394242
Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.25,394.85,No,0,12–24 months,Medium Risk,0.18226901470758503,0,Low Risk,43.744563529820404
Male,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,Yes,1,12–24 months,Medium Risk,0.6921263257821196,1,Medium Risk,166.1103181877087
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,Yes,1,0–12 months,High Risk,0.43708943855101906,0,Medium Risk,104.90146525224458
Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,69.65,3442.15,No,0,48+ months,Low Risk,0.11834717953392825,0,Low Risk,28.40332308814278
Female,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.5,161.5,Yes,1,0–12 months,High Risk,0.7646660611595657,1,High Risk,183.51985467829576
Male,1,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.0,1732.6,No,0,12–24 months,Medium Risk,0.26188939222708135,0,Low Risk,62.85345413449952
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Yes,1,0–12 months,High Risk,0.6432841004574431,1,Medium Risk,154.38818410978635
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.6,74.6,Yes,1,0–12 months,High Risk,0.651232308517487,1,Medium Risk,156.29575404419688
Male,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,655.3,No,0,24–48 months,Low Risk,0.009109692310482562,0,Low Risk,2.186326154515815
Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.8,475.25,No,0,12–24 months,Medium Risk,0.09935910375678957,0,Low Risk,23.846184901629496
Female,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.65,164.3,Yes,1,0–12 months,High Risk,0.24016379282935754,0,Low Risk,57.63931027904581
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.1,865.1,No,0,0–12 months,High Risk,0.5826381715924307,1,Medium Risk,139.83316118218337
Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.85,6132.7,No,0,48+ months,Low Risk,0.015915278658361665,0,Low Risk,3.8196668780067995
Male,0,Yes,No,45,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),78.8,3597.5,No,0,24–48 months,Low Risk,0.04462778055104346,0,Low Risk,10.71066733225043
Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,Yes,1,0–12 months,Medium Risk,0.10339949937016646,0,Low Risk,24.81587984883995
Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.35,697.65,No,0,24–48 months,Medium Risk,0.04430928250286419,0,Low Risk,10.634227800687407
Female,0,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.25,96.05,Yes,1,0–12 months,High Risk,0.5677253625182268,1,Medium Risk,136.25408700437444
Female,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.25,428.7,No,0,0–12 months,High Risk,0.2712575213389516,0,Low Risk,65.10180512134838
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,No,0,0–12 months,High Risk,0.20573451911662335,0,Low Risk,49.3762845879896
Male,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,69.55,4459.15,No,0,48+ months,Low Risk,0.017074860522223064,0,Low Risk,4.097966525333535
Female,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,1167.6,No,0,48+ months,Low Risk,0.006037706580357979,0,Low Risk,1.449049579285915
Female,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.75,238.1,No,0,0–12 months,High Risk,0.6303846124172374,1,Medium Risk,151.29230698013697
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,145.15,Yes,1,0–12 months,High Risk,0.6439162434694757,1,Medium Risk,154.53989843267416
Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,No,0,48+ months,Medium Risk,0.20697081424357747,0,Low Risk,49.67299541845859
Female,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,191.05,Yes,1,0–12 months,High Risk,0.3330002010305889,0,Medium Risk,79.92004824734134
Female,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,No,0,48+ months,Low Risk,0.020575371671932536,0,Low Risk,4.938089201263809
Female,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,1039.45,No,0,48+ months,Low Risk,0.023834025091595643,0,Low Risk,5.720166021982954
Male,0,Yes,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1336.1,No,0,48+ months,Low Risk,0.008967190449909117,0,Low Risk,2.152125707978188
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.05,75.05,Yes,1,0–12 months,High Risk,0.7135992862323777,1,High Risk,171.26382869577066
Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,493.4,No,0,12–24 months,Medium Risk,0.09842899955044901,0,Low Risk,23.62295989210776
Male,1,No,No,52,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,Yes,1,48+ months,Medium Risk,0.3700634260451222,0,Medium Risk,88.81522225082934
Male,1,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.35,7246.15,No,0,48+ months,Low Risk,0.09990126450150273,0,Low Risk,23.976303480360656
Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.55,1203.95,No,0,24–48 months,Low Risk,0.017876243153190516,0,Low Risk,4.290298356765724
Female,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,62.25,Yes,1,0–12 months,High Risk,0.7362716590713152,1,High Risk,176.70519817711565
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,107.95,313.6,No,0,0–12 months,High Risk,0.6731989853721322,1,Medium Risk,161.56775648931173
Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,No,0,24–48 months,Medium Risk,0.1981622850181611,0,Low Risk,47.55894840435867
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,80.0,Yes,1,0–12 months,High Risk,0.6924507843344923,1,Medium Risk,166.18818824027815
Female,0,Yes,Yes,61,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.8,4616.05,No,0,48+ months,Low Risk,0.028410265452794677,0,Low Risk,6.8184637086707225
Male,0,No,No,3,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),64.4,195.65,No,0,0–12 months,High Risk,0.2918879128106778,0,Low Risk,70.05309907456267
Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,No,0,24–48 months,Low Risk,0.28305660183892445,0,Low Risk,67.93358444134186
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,No,0,0–12 months,High Risk,0.5647098147048301,1,Medium Risk,135.5303555291592
Female,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.9,49.9,No,0,0–12 months,High Risk,0.4556570929444698,0,Medium Risk,109.35770230667276
Male,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.6,1266.4,No,0,48+ months,Low Risk,0.03788949851083738,0,Low Risk,9.093479642600972
Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,1,0–12 months,High Risk,0.4582652466508784,0,Medium Risk,109.98365919621082
Male,0,No,No,52,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,30.1,1623.4,No,0,48+ months,Low Risk,0.061078351293431345,0,Low Risk,14.658804310423523
Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.4,4149.45,No,0,48+ months,Medium Risk,0.36132363745724994,0,Medium Risk,86.71767298973998
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,20.45,No,0,0–12 months,High Risk,0.26555155975756345,0,Low Risk,63.73237434181523
Male,0,Yes,Yes,31,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,2344.5,No,0,24–48 months,Low Risk,0.07295048289297955,0,Low Risk,17.508115894315093
Male,0,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,No,0,24–48 months,Low Risk,0.010357743342389127,0,Low Risk,2.4858584021733905
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.1,270.7,Yes,1,0–12 months,High Risk,0.6900437534515842,1,Medium Risk,165.6105008283802
Female,1,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,417.0,No,0,12–24 months,Medium Risk,0.049214095563221545,0,Low Risk,11.811382935173171
Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,20.65,No,0,0–12 months,High Risk,0.28708496713240983,0,Low Risk,68.90039211177836
Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,0,48+ months,Low Risk,0.023901647797365467,0,Low Risk,5.736395471367712
Male,0,Yes,Yes,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.15,168.15,Yes,1,0–12 months,High Risk,0.48242466323388067,0,Medium Risk,115.78191917613137
Male,1,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,No,0,24–48 months,Low Risk,0.1355200906738764,0,Low Risk,32.52482176173034
